,Job_ID,Job_Title,Location,Company,Date,Salary,Description,url
156,8383f378fd015859,software product owner system engineer,"Kirkland, WA 98034 (Totem Lake area)",Micro Encoder Inc.,1 day ago,None,"You’ll love our excellent benefits package, including 100% premium-paid medical/dental/vision package and 401k with matching contributions.",https://www.indeed.com/viewjob?jk=8383f378fd015859&vjs=3
157,48bf90e1bd832257,software engineering intern- allennlp,"Seattle, WA",The Allen Institute for AI,22 days ago,None,"Position Summary Are you interested in honing your engineering skills while learning about cutting-edge developments in Artificial Intelligence? If so, an…",https://www.indeed.com/rc/clk?jk=48bf90e1bd832257&fccid=675c12bc7ffc102c&vjs=3
158,370922a8c1f14444,software dev engineer i,"Seattle, WA","Amazon Dev Center U.S., Inc.",21 days ago,None,"· Currently enrolled in Associate’s Degree in a STEM related field such as IT, Computer Science, Computer Engineering · Proficiency in one of the following…",https://www.indeed.com/rc/clk?jk=370922a8c1f14444&fccid=fe2d21eef233e94a&vjs=3
159,400c862f0918be5e,software developer intern,"Seattle, WA",IDA,6 days ago,None,"\*Remote, Unpaid (can be negotiated) Internship for Developer Experience Working for a Real Startup\* What is IDA? Ideate.  Decide.  Act.  IDA is a platform…",https://www.indeed.com/company/IDA/jobs/Software-Developer-Intern-400c862f0918be5e?fccid=26f156030a6db54c&vjs=3
160,7f7b64cdc04cd90f,front end web developer,"Seattle, WA",Navigator CRE,30+ days ago,None,Job Description We are looking for a Front End Web Developer to produce scalable software solutions.  Web Developer responsibilities include gathering user…,https://www.indeed.com/rc/clk?jk=7f7b64cdc04cd90f&fccid=f2b701ff08a303a5&vjs=3
161,8f35e3b1436fb97f,software developer engineer in test,"Seattle, WA",Transaction Network Services,30+ days ago,None,"Cequint, a 100+ person independent subsidiary of a $500 million company, is the leading provider of carrier-grade mobile industry solutions to tier-1 and tier…",https://www.indeed.com/rc/clk?jk=8f35e3b1436fb97f&fccid=dcce7a0c9a34f673&vjs=3
162,7d12e38ed686d73e,software engineer,"Bellevue, WA",ProbablyMonsters,30+ days ago,None,"About ProbablyMonsters Inc.  Established in 2016 and announced in October 2019, ProbablyMonsters™ is a new breed of game company that builds sustainable AAA…",https://www.indeed.com/rc/clk?jk=7d12e38ed686d73e&fccid=bfbb82736d082815&vjs=3
163,8c23a2f1e267ed03,software development engineer 2,"Seattle, WA","Tyler Technologies, Inc.",30+ days ago,None,"This team builds cloud software (platform + apps + ecosystem) to accelerate the flow of government data into the hands of citizens, developers, businesses and…",https://www.indeed.com/rc/clk?jk=8c23a2f1e267ed03&fccid=35fa439a19059a40&vjs=3
164,23a78910694eb6b2,software engineer intern (summer 2021),"Seattle, WA",Splunk,17 days ago,None,"You will get to work with smart and hardworking individuals who are doing state of the art development work (native mobile, front-end and back-end, DevOps) in…",https://www.indeed.com/rc/clk?jk=23a78910694eb6b2&fccid=aef928e89977f7f0&vjs=3
165,bf6cf6a0d0cb168b,software engineer (digital closing engineering),"Seattle, WA",Redfin,30+ days ago,None,"You are a software developer with 2+ years of experience developing full-stack, customer-facing applications and has built APIs.",https://www.indeed.com/rc/clk?jk=bf6cf6a0d0cb168b&fccid=ccaacd9cca9fffe8&vjs=3
166,adebcaed0465ac4d,full stack software engineer - platform authentication,"Seattle, WA 98101 (Downtown area)",DocuSign,7 days ago,None,"Experiences with the entire software development lifecycle, including version control (git), build process, testing, and code release.",https://www.indeed.com/rc/clk?jk=adebcaed0465ac4d&fccid=9dd30dd046d9ac7a&vjs=3
167,61da8f52348a5295,samsung backend engineer (supply access and optimization) -...,"Seattle, WA",Talent Acquisition Canada,6 days ago,None,You will also interact on a day-to-day basis with a mix of ML and Data Engineers. Contribute to open source software to improve our external dependencies.,https://www.indeed.com/company/Talent-Acquisition-Quebec/jobs/Samsung-Backend-Engineer-61da8f52348a5295?fccid=8763d7ec0cdfa562&vjs=3
